,Unnamed: 0,Median length- mm,Median YOLKSAC BREADTH Ratio,Median Yolk sac area Ratio,Median Eye area Ratio,principal component 1,principal component 2,pca_eps0.03_min3
0,Control Fish water,3.3169999999999997,0.14681941513415736,0.0560747663551402,0.008742839915586373,0.06516245565130033,0.006905247771828222,0
1,"Control 
1% DMSO",3.3939999999999997,0.1328815556865056,0.05362404242781379,0.010017678255745434,-0.012689089260917451,-0.0006614048478817223,0
2,C1,3.115,0.13996789727126804,0.06003210272873194,0.010914927768860352,0.2661491229739046,-0.013493424864070735,1
3,C3,3.327,0.12593928464081755,0.05951307484220018,0.009317703636910129,0.05376314613628751,-0.009714941771178369,0
4,C4,2.975,0.14218487394957982,0.06285714285714286,0.010756302521008405,0.40595785306920534,-0.02130711423121156,-1
5,C5,3.083,0.14239377229970807,0.0635744404800519,0.007784625364904314,0.2983262718645652,-0.012326952165806905,1
6,C7,3.2460000000000004,0.16789895255699322,0.06592729513247073,0.008934072704867528,0.13777148909490447,0.024519149446609236,2
7,C8,3.353,0.14047121980316132,0.062332239785266925,0.010140172979421413,0.028991373056797148,0.006644788076741889,0
8,C10,3.483,0.13838644846396786,0.061441286247487785,0.009761699684180305,-0.10078348965396636,0.014607264539469271,0
9,C11,3.32,0.14698795180722893,0.056325301204819274,0.008734939759036145,0.06219136022385462,0.00739907677108521,0
10,C12,3.333,0.1344134413441344,0.0615061506150615,0.011101110111011102,0.04846243319291944,-0.0007465697565759245,0
11,C13,3.42,0.14181286549707606,0.06754385964912281,0.011111111111111113,-0.037550430601456,0.015325174785363462,0
12,C14,3.1060000000000003,0.14713457823567289,0.057952350289761735,0.010946555054732776,0.2755863734004482,-0.008606091700189682,1
13,C17,3.569,0.13028859624544692,0.058840011207621175,0.010647240123283832,-0.1871838176634243,0.012958802542913156,3
14,C24,3.167,0.17303441742974426,0.07546574044837387,0.01010419955794127,0.21717910808306598,0.026972403920612988,-1
15,C25,3.1,0.1787096774193548,0.08580645161290322,0.00935483870967742,0.28468462132586364,0.031193264276520288,-1
16,C27,3.5260000000000002,0.14407260351673284,0.06693136698808849,0.010209869540555873,-0.14307401816285223,0.025441317346256327,0
17,C28,3.451,0.1257606490872211,0.06056215589684149,0.009272674587076209,-0.06983425923747277,0.00031642716434200434,0
18,C29,3.457,0.13798090830199594,0.06479606595313858,0.008678044547295342,-0.07479834526042224,0.013611309892292289,0
19,C30,3.63,0.11377410468319556,0.05426997245179064,0.010192837465564741,-0.2493370796898173,0.0009106972955770416,4
20,C34,3.556,0.1189538807649044,0.05736782902137232,0.01124859392575928,-0.17509681561934826,0.001078854484235861,3
21,C37,3.66,0.11338797814207648,0.0453551912568306,0.010382513661202184,-0.2795293935066784,-0.0008412946587163342,4
22,C38,3.611,0.1060648019939075,0.044309055663251176,0.009692605926336195,-0.23124941474497995,-0.011750386493220365,4
23,C40,3.509,0.12282701624394415,0.05984611000284981,0.00883442576232545,-0.1278901539436853,0.001924701224517932,0
24,C41,3.6430000000000002,0.11913258303595935,0.05105682130112547,0.010979961570134505,-0.26199586392041607,0.005417242585810649,4
25,C42,3.705,0.11309041835357625,0.04615384615384616,0.009176788124156546,-0.3243896028421318,0.002764040811032857,4
26,C43,3.681,0.10241782124422713,0.04482477587612062,0.010323281716924749,-0.30128352408702724,-0.009321846126869014,4
27,C48,3.513,0.13065755764304016,0.05436948477085113,0.00967833760318816,-0.13146104222300026,0.007001061939518081,0
28,C49,3.6439999999999997,0.11031833150384192,0.049670691547749724,0.009604829857299673,-0.26368033359599496,-0.0030512999585853864,4
29,C51,3.367,0.12563112563112566,0.07098307098307098,0.0098010098010098,0.014196710297633778,-0.0020068634119825607,0
30,C52,3.217,0.12620453838980414,0.055020205160087036,0.01056885296860429,0.1633122981294319,-0.020019377828306796,2
31,C54,3.6889999999999996,0.10599078341013823,0.05313092979127135,0.009758742206560044,-0.30875752002967694,-0.0019609757549878047,4
32,C56,3.6489999999999996,0.0992052617155385,0.04905453548917511,0.00822143052891203,-0.26949862482622167,-0.01295658962968617,4
33,C57,3.5639999999999996,0.12177328843995512,0.051627384960718295,0.008978675645342313,-0.18303363528760938,0.0018291935581688443,3
34,C59,3.077,0.1449463763405915,0.05882352941176471,0.008774780630484239,0.3043585942488847,-0.012497291812629305,1
35,C60,3.489,0.12811693895098886,0.055030094582975066,0.009171682430495844,-0.10770333426974575,0.0030976276800338525,0
36,C63,3.491,0.12460613004869665,0.05585792036665712,0.00916642795760527,-0.10993052711185797,0.0004334152458397795,0
37,C65,3.307,0.1312367704868461,0.0592682189295434,0.009676443906864228,0.0740825681823071,-0.006605981521577185,0
38,C68,3.41,0.12463343108504395,0.05131964809384164,0.007917888563049855,-0.029312770099569247,-0.00782751734788116,0
